"","year","location_abbr","state","effective_date","geo_location"
"1",2018,"NE","nebraska",NA,"(41.6410409880005, -99.36572062299967)"
"2",2018,"VA","virginia",NA,"(37.54268067400045, -78.45789046299967)"
"3",2018,"IL","illinois","1/1/2014","(40.48501028300046, -88.99771017799969)"
"4",2018,"NC","north carolina",NA,"(35.466220975000454, -79.15925046299964)"
"5",2018,"WA","washington","6/28/2016","(47.52227862900048, -120.47001078999972)"
"6",2018,"UT","utah",NA,"(39.360700171000474, -111.58713063499971)"
"7",2018,"NH","new hampshire",NA,"(43.65595011300047, -71.50036091999965)"
"8",2018,"IA","iowa","7/1/2014","(42.46940091300047, -93.81649055599968)"
"9",2018,"WY","wyoming","3/13/2013","(43.23554134300048, -108.10983035299967)"
"10",2018,"OH","ohio",NA,"(40.06021014100048, -82.40426005599966)"
"11",2018,"ID","idaho","6/1/2015","(43.682630005000476, -114.3637300419997)"
"12",2018,"NH","new hampshire","7/31/2010","(43.65595011300047, -71.50036091999965)"
"13",2018,"VT","vermont",NA,"(43.62538123900049, -72.51764079099962)"
"14",2018,"MI","michigan",NA,"(44.6613195430005, -84.71439026999968)"
"15",2018,"VT","vermont",NA,"(43.62538123900049, -72.51764079099962)"
"16",2018,"IL","illinois","1/1/2014","(40.48501028300046, -88.99771017799969)"
"17",2018,"CA","california",NA,"(37.63864012300047, -120.99999953799971)"
"18",2018,"AZ","arizona","9/13/2013","(34.865970280000454, -111.76381127699972)"
"19",2018,"ME","maine","11/1/2017","(45.254228894000505, -68.98503133599962)"
"20",2018,"ND","north dakota","8/1/2015","(47.47531977900047, -100.11842104899966)"
"21",2018,"NM","new mexico",NA,"(34.52088095200048, -106.24058098499967)"
"22",2018,"IN","indiana","7/1/2013","(39.766910452000445, -86.14996019399968)"
"23",2018,"OH","ohio","8/2/2014","(40.06021014100048, -82.40426005599966)"
"24",2018,"NE","nebraska",NA,"(41.6410409880005, -99.36572062299967)"
"25",2018,"NY","new york","1/1/2013","(42.82700103200045, -75.54397042699964)"
"26",2018,"IN","indiana","7/1/2013","(39.766910452000445, -86.14996019399968)"
"27",2018,"VT","vermont",NA,"(43.62538123900049, -72.51764079099962)"
"28",2018,"NC","north carolina",NA,"(35.466220975000454, -79.15925046299964)"
"29",2018,"MS","mississippi","7/1/2013","(32.745510099000455, -89.53803082499968)"
"30",2018,"NE","nebraska",NA,"(41.6410409880005, -99.36572062299967)"
"31",2018,"ME","maine","7/1/2018","(45.254228894000505, -68.98503133599962)"
"32",2018,"PA","pennsylvania",NA,"(40.79373015200048, -77.86070029399963)"
"33",2018,"UT","utah","5/11/2010","(39.360700171000474, -111.58713063499971)"
"34",2018,"IA","iowa","7/1/2014","(42.46940091300047, -93.81649055599968)"
"35",2018,"GA","georgia","7/1/2014","(32.83968109300048, -83.62758034599966)"
"36",2018,"TX","texas","10/1/2015","(31.827240407000488, -99.42677020599967)"
"37",2018,"AR","arkansas",NA,"(34.74865012400045, -92.27449074299966)"
"38",2018,"LA","louisiana","5/28/2014","(31.31266064400046, -92.44568007099969)"
"39",2018,"DC","district of columbia","11/29/2016","(38.89037138500049, -77.03196112699965)"
"40",2018,"WY","wyoming","3/13/2013","(43.23554134300048, -108.10983035299967)"
"41",2018,"MT","montana","1/1/2016","(47.06652897200047, -109.42442064499971)"
"42",2018,"PA","pennsylvania",NA,"(40.79373015200048, -77.86070029399963)"
"43",2018,"HI","hawaii","7/1/2014","(21.304850435000446, -157.85774940299973)"
"44",2018,"DC","district of columbia","11/29/2016","(38.89037138500049, -77.03196112699965)"
"45",2018,"VT","vermont","5/3/2013","(43.62538123900049, -72.51764079099962)"
"46",2018,"KY","kentucky","4/10/2014","(37.645970271000465, -84.77497104799966)"
"47",2018,"IA","iowa","7/1/2014","(42.46940091300047, -93.81649055599968)"
"48",2018,"MO","missouri","10/10/2014","(38.635790776000476, -92.56630005299968)"
"49",2018,"KS","kansas","7/1/2012","(38.34774030000045, -98.20078122699965)"
"50",2018,"MO","missouri","10/10/2014","(38.635790776000476, -92.56630005299968)"
"51",2018,"DE","delaware","6/12/2014","(39.008830667000495, -75.57774116799965)"
"52",2018,"HI","hawaii","1/1/2016","(21.304850435000446, -157.85774940299973)"
"53",2018,"NM","new mexico","6/19/2015","(34.52088095200048, -106.24058098499967)"
"54",2018,"MN","minnesota",NA,"(46.35564873600049, -94.79420050299967)"
"55",2018,"TN","tennessee","7/1/2015","(35.68094058000048, -85.77449091399967)"
"56",2018,"FL","florida","7/1/2014","(28.932040377000476, -81.92896053899966)"
"57",2018,"VT","vermont",NA,"(43.62538123900049, -72.51764079099962)"
"58",2018,"NM","new mexico","6/19/2015","(34.52088095200048, -106.24058098499967)"
"59",2018,"IA","iowa","7/1/2014","(42.46940091300047, -93.81649055599968)"
"60",2018,"HI","hawaii","7/1/2014","(21.304850435000446, -157.85774940299973)"
"61",2018,"CT","connecticut",NA,"(41.56266102000046, -72.64984095199964)"
"62",2018,"CT","connecticut","10/1/2014","(41.56266102000046, -72.64984095199964)"
"63",2018,"IA","iowa","7/1/2014","(42.46940091300047, -93.81649055599968)"
"64",2018,"SC","south carolina",NA,"(33.998821303000454, -81.04537120699968)"
"65",2018,"LA","louisiana","5/28/2014","(31.31266064400046, -92.44568007099969)"
"66",2018,"WY","wyoming",NA,"(43.23554134300048, -108.10983035299967)"
"67",2018,"CT","connecticut",NA,"(41.56266102000046, -72.64984095199964)"
"68",2018,"NE","nebraska","4/9/2014","(41.6410409880005, -99.36572062299967)"
"69",2018,"CA","california","1/1/2017","(37.63864012300047, -120.99999953799971)"
"70",2018,"NY","new york","1/1/2013","(42.82700103200045, -75.54397042699964)"
"71",2018,"WY","wyoming",NA,"(43.23554134300048, -108.10983035299967)"
"72",2018,"VT","vermont","7/1/2013","(43.62538123900049, -72.51764079099962)"
"73",2018,"ID","idaho","7/1/2012","(43.682630005000476, -114.3637300419997)"
"74",2018,"ND","north dakota","8/1/2015","(47.47531977900047, -100.11842104899966)"
"75",2018,"UT","utah","7/1/2015","(39.360700171000474, -111.58713063499971)"
"76",2018,"HI","hawaii","1/1/2016","(21.304850435000446, -157.85774940299973)"
"77",2018,"NJ","new jersey","3/12/2010","(40.13057004800049, -74.27369128799967)"
"78",2018,"IL","illinois",NA,"(40.48501028300046, -88.99771017799969)"
"79",2018,"MO","missouri","10/10/2014","(38.635790776000476, -92.56630005299968)"
"80",2018,"VT","vermont","5/3/2013","(43.62538123900049, -72.51764079099962)"
"81",2018,"AR","arkansas",NA,"(34.74865012400045, -92.27449074299966)"
"82",2018,"AL","alabama",NA,"(32.84057112200048, -86.63186076199969)"
"83",2018,"SC","south carolina","6/7/2013","(33.998821303000454, -81.04537120699968)"
"84",2018,"UT","utah","5/11/2010","(39.360700171000474, -111.58713063499971)"
"85",2018,"RI","rhode island",NA,"(41.70828019300046, -71.52247031399963)"
"86",2018,"TN","tennessee","7/1/2015","(35.68094058000048, -85.77449091399967)"
"87",2018,"WY","wyoming",NA,"(43.23554134300048, -108.10983035299967)"
"88",2018,"RI","rhode island","1/1/2015","(41.70828019300046, -71.52247031399963)"
"89",2018,"OR","oregon",NA,"(44.56744942400047, -120.15503132599969)"
"90",2018,"DC","district of columbia","11/29/2016","(38.89037138500049, -77.03196112699965)"
"91",2018,"NC","north carolina","8/1/2013","(35.466220975000454, -79.15925046299964)"
"92",2018,"CA","california",NA,"(37.63864012300047, -120.99999953799971)"
"93",2018,"IN","indiana","7/1/2013","(39.766910452000445, -86.14996019399968)"
"94",2018,"TN","tennessee",NA,"(35.68094058000048, -85.77449091399967)"
"95",2018,"WA","washington","6/28/2016","(47.52227862900048, -120.47001078999972)"
"96",2018,"VT","vermont",NA,"(43.62538123900049, -72.51764079099962)"
"97",2018,"GA","georgia","7/1/2014","(32.83968109300048, -83.62758034599966)"
"98",2018,"NJ","new jersey","3/12/2010","(40.13057004800049, -74.27369128799967)"
"99",2018,"MN","minnesota",NA,"(46.35564873600049, -94.79420050299967)"
"100",2018,"ID","idaho","7/1/2012","(43.682630005000476, -114.3637300419997)"
"101",2018,"LA","louisiana","5/28/2014","(31.31266064400046, -92.44568007099969)"
"102",2018,"NY","new york",NA,"(42.82700103200045, -75.54397042699964)"
"103",2018,"PA","pennsylvania",NA,"(40.79373015200048, -77.86070029399963)"
"104",2018,"AL","alabama",NA,"(32.84057112200048, -86.63186076199969)"
"105",2018,"AR","arkansas","5/1/2015","(34.74865012400045, -92.27449074299966)"
"106",2018,"NM","new mexico","6/19/2015","(34.52088095200048, -106.24058098499967)"
"107",2018,"NE","nebraska",NA,"(41.6410409880005, -99.36572062299967)"
"108",2018,"IL","illinois","1/1/2014","(40.48501028300046, -88.99771017799969)"
"109",2018,"WY","wyoming",NA,"(43.23554134300048, -108.10983035299967)"
"110",2018,"GA","georgia","7/1/2014","(32.83968109300048, -83.62758034599966)"
"111",2018,"CO","colorado","3/25/2011","(38.843840757000464, -106.13361092099967)"
"112",2018,"SD","south dakota",NA,"(44.353130053000484, -100.3735306369997)"
"113",2018,"AL","alabama","8/1/2013","(32.84057112200048, -86.63186076199969)"
"114",2018,"IA","iowa","7/1/2014","(42.46940091300047, -93.81649055599968)"
"115",2018,"PA","pennsylvania",NA,"(40.79373015200048, -77.86070029399963)"
"116",2018,"SD","south dakota","7/1/2014","(44.353130053000484, -100.3735306369997)"
"117",2018,"NC","north carolina","8/1/2013","(35.466220975000454, -79.15925046299964)"
"118",2018,"CO","colorado","3/25/2011","(38.843840757000464, -106.13361092099967)"
"119",2018,"CA","california",NA,"(37.63864012300047, -120.99999953799971)"
"120",2018,"SC","south carolina","6/7/2013","(33.998821303000454, -81.04537120699968)"
"121",2018,"SD","south dakota","7/1/2014","(44.353130053000484, -100.3735306369997)"
"122",2018,"MS","mississippi",NA,"(32.745510099000455, -89.53803082499968)"
"123",2018,"ND","north dakota",NA,"(47.47531977900047, -100.11842104899966)"
"124",2018,"NE","nebraska",NA,"(41.6410409880005, -99.36572062299967)"
"125",2018,"SC","south carolina","6/7/2013","(33.998821303000454, -81.04537120699968)"
"126",2018,"OK","oklahoma","11/1/2014","(35.47203135600046, -97.52107021399968)"
"127",2018,"WY","wyoming",NA,"(43.23554134300048, -108.10983035299967)"
"128",2018,"NC","north carolina",NA,"(35.466220975000454, -79.15925046299964)"
"129",2018,"MS","mississippi","7/1/2013","(32.745510099000455, -89.53803082499968)"
"130",2018,"TN","tennessee",NA,"(35.68094058000048, -85.77449091399967)"
"131",2018,"MA","massachusetts",NA,"(42.27687047000046, -72.08269067499964)"
"132",2018,"VA","virginia","7/1/2014","(37.54268067400045, -78.45789046299967)"
"133",2018,"IN","indiana",NA,"(39.766910452000445, -86.14996019399968)"
"134",2018,"CA","california","1/1/2017","(37.63864012300047, -120.99999953799971)"
"135",2018,"GA","georgia","7/1/2014","(32.83968109300048, -83.62758034599966)"
"136",2018,"KS","kansas","7/1/2012","(38.34774030000045, -98.20078122699965)"
"137",2018,"NV","nevada","10/1/2015","(39.493240390000494, -117.07184056399967)"
"138",2018,"VT","vermont","7/1/2013","(43.62538123900049, -72.51764079099962)"
"139",2018,"WV","west virginia","6/6/2014","(38.66551020200046, -80.71264013499967)"
"140",2018,"MO","missouri","10/10/2014","(38.635790776000476, -92.56630005299968)"
"141",2018,"TX","texas","10/1/2015","(31.827240407000488, -99.42677020599967)"
